Column1,names,rVals,pVals,fVals,,
17,OverallQual,0.625651892,2.18567526799377e-313,2436.770591,,
46,GrLivArea,0.50214865,4.52E-223,1470.58501,,
61,GarageCars,0.41012394,2.50E-169,1013.705666,,
27,ExterQual,0.40562084,6.42E-167,994.9796779,,
62,GarageArea,0.388666759,5.27E-158,926.9512873,,
38,TotalBsmtSF,0.376481093,9.48E-152,880.3412824,,
30,BsmtQual,0.373539379,1.71E-146,847.2989983,,
43,X1stFlrSF,0.36705687,5.39E-147,845.5244877,,
72,PoolQC,0.354297148,0.158552292,2.743499949,,
53,KitchenQual,0.347143416,3.56E-137,775.2623072,,
49,FullBath,0.314343855,1.24E-121,668.4302965,,
6,Alley,0.285496726,4.90E-08,35.56206043,,
54,TotRmsAbvGrd,0.284860407,2.77E-108,580.7628008,,
19,YearBuilt,0.273421621,2.99E-103,548.6658211,,
60,GarageFinish,0.263277061,1.82E-93,492.0879945,,
20,YearRemodAdd,0.257151391,3.16E-96,504.7148547,,remod 1930
59,GarageYrBlt,0.236547681,8.71E-83,426.6489854,,
26,MasVnrArea,0.22799961,1.46E-83,428.2373932,,
56,Fireplaces,0.218022539,6.14E-80,406.5038661,,
40,HeatingQC,0.160142066,2.90E-57,278.0078902,,
34,BsmtFinSF1,0.149320267,3.39E-53,255.9235165,,
29,Foundation,0.146290179,4.58E-52,249.8402563,,
58,GarageType,0.128363865,4.98E-43,202.7876482,,
3,LotFrontage,0.123762604,2.60E-36,169.3506387,,
66,WoodDeckSF,0.105244083,3.97E-37,171.4946726,,
44,X2ndFlrSF,0.101974078,5.76E-36,165.5611508,,
67,OpenPorchSF,0.099765156,3.49E-35,161.5773914,,
32,BsmtExposure,0.081390433,4.90E-28,125.8145126,,
50,HalfBath,0.080717171,1.65E-28,128.0189645,,
4,LotArea,0.069613315,1.12E-24,109.0903551,,
7,LotShape,0.06532107,3.32E-23,101.8939417,,
41,CentralAir,0.063165846,1.81E-22,98.30534357,,
42,Electrical,0.055220128,9.39E-20,85.15817158,,
65,PavedDrive,0.053526039,3.42E-19,82.45442414,,
47,BsmtFullBath,0.051584509,1.55E-18,79.30091242,,
21,RoofStyle,0.049464114,8.06E-18,75.87159981,,
37,BsmtUnfSF,0.046001287,1.18E-16,70.30394811,,
79,SaleCondition,0.045408213,1.87E-16,69.35443571,,
16,HouseStyle,0.032458571,4.06E-12,48.91221696,,
73,Fence,0.029928786,0.003625441,8.607750937,,
12,Neighborhood,0.029220933,4.88E-11,43.88652625,,
51,BedroomAbvGr,0.028295665,9.93E-11,42.45641241,,
2,MSZoning,0.027846332,1.40E-10,41.76289554,,
57,FireplaceQu,0.027828059,3.25E-06,21.9837137,,
64,GarageCond,0.022673083,1.93E-08,31.94512985,,
52,KitchenAbvGr,0.018470813,1.86E-07,27.43723404,,
22,RoofMatl,0.017525288,3.85E-07,26.00766215,,
68,EnclosedPorch,0.016532291,8.26E-07,24.50927514,,
28,ExterCond,0.013759913,7.00E-06,20.34185584,,
55,Functional,0.013300528,9.98E-06,19.65357341,,
63,GarageQual,0.013252397,1.82E-05,18.4936359,,
70,ScreenPorch,0.012420338,1.97E-05,18.3365999,,
74,MiscFeature,0.011986997,0.430640493,0.630886275,,
24,Exterior2nd,0.010767287,7.12E-05,15.86957625,,
23,Exterior1st,0.010722812,7.37E-05,15.80331576,,
39,Heating,0.009763826,0.000155806,14.37602384,,
71,PoolArea,0.008538416,0.000407349,12.5562207,,
13,Condition1,0.008309218,0.000487918,12.21634799,,
15,BldgType,0.007325752,0.001061793,10.75977013,,
1,MSSubClass,0.007103815,0.001266472,10.43146611,,
18,OverallCond,0.00606154,0.002912351,8.891622595,,
10,LotConfig,0.004542224,0.009997322,6.652780922,,
33,BsmtFinType1,0.004164287,0.014904498,5.942196921,,
31,BsmtCond,0.003643583,0.022780533,5.196465809,,
11,LandSlope,0.002616552,0.050685854,3.824941697,,
78,SaleType,0.00253709,0.054330738,3.708486248,,
76,MoSold,0.002155953,0.076127579,3.150171675,,
69,X3SsnPorch,0.001987703,0.088581704,2.903843266,,
35,BsmtFinType2,0.001694207,0.120796198,2.409857188,,
5,Street,0.001683915,0.117048604,2.459289558,,
77,YrSold,0.000836516,0.269413193,1.220661333,,
45,LowQualFinSF,0.000655674,0.32820731,0.956599754,,
75,MiscVal,0.000448998,0.418486349,0.654933564,,
48,BsmtHalfBath,0.000283726,0.520153636,0.413789231,,
25,MasVnrType,0.000282574,0.522147468,0.409848674,,
8,LandContour,0.000238803,0.555192643,0.348257469,,
9,Utilities,0.000204899,0.584716774,0.298804075,,
36,BsmtFinSF2,0.000129462,0.663998651,0.188779522,,
14,Condition2,5.64E-05,0.774250651,0.082295875,,
